# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
pai ban 	排版	c=2 d=2.33552e-38 t=389086
pai cha 	排查	c=346 d=0.108787 t=389086
pai cha zhong 	排查中	c=2 d=8.02526e-148 t=389086
pai chu 	排除	c=19 d=1.35097e-06 t=389086
pai chu a 	拍出啊	c=1 d=0 t=389086
pai dui 	排队	c=2 d=1.64045e-29 t=389086
pai hang 	排行	c=2 d=5.39547e-271 t=389086
pai hang bang 	排行榜	c=1 d=5.50447e-271 t=389086
pai li 	排里	c=0 d=9.35164e-125 t=389086
pai li a 	排里啊	c=1 d=9.39851e-124 t=389086
pai lie 	排列	c=3 d=9.99847e-293 t=389086
pai pian 	拍片	c=1 d=5.51245e-53 t=389086
pai qi 	排期	c=44 d=4.74785e-05 t=389086
pai song 	派送	c=1 d=1.20691e-36 t=389086
pai xia 	拍下	c=1 d=0 t=389086
pai xia 	排下	c=2 d=2.40618e-212 t=389086
pai xu 	排序	c=55 d=5.18084e-29 t=389086
pai zhao 	拍照	c=2 d=5.48945e-92 t=389086
pai zhao 	牌照	c=1 d=1.21145e-227 t=389086
pai zi 	牌子	c=2 d=2.53868e-225 t=389086
pan 	判	c=7 d=0.384812 t=389086
pan 	盘	c=8 d=8.64122e-39 t=389086
pan bian 	叛变	c=2 d=2.74825e-217 t=389086
pan duan 	判断	c=349 d=0.418995 t=389086
pang 	胖	c=11 d=1.50032e-08 t=389086
pang bian 	旁边	c=15 d=3.89673e-31 t=389086
pang da 	庞大	c=1 d=8.3744e-149 t=389086
pang guo 	旁过	c=2 d=8.58959e-124 t=389086
pang tai 	胖台	c=3 d=1.17608e-202 t=389086
pang xie 	螃蟹	c=2 d=3.22414e-294 t=389086
pang zi 	胖子	c=1 d=1.32444e-41 t=389086
pao 	抛	c=1 d=0 t=389086
pao 	泡	c=1 d=8.16016e-197 t=389086
pao 	炮	c=2 d=4.79199e-111 t=389086
pao 	跑	c=184 d=0.981052 t=389086
pao bu chu lai 	跑不出来	c=2 d=7.21043e-300 t=389086
pao bu liao 	跑不了	c=2 d=7.93031e-294 t=389086
pao chu 	抛出	c=1 d=0 t=389086
pao chu lai 	跑出来	c=1 d=5.07295e-193 t=389086
pao dao 	跑道	c=2 d=5.27957e-289 t=389086
pao de 	跑得	c=1 d=7.55043e-107 t=389086
pao guo 	跑过	c=1 d=4.32762e-294 t=389086
pao guo lai 	跑过来	c=2 d=7.31139e-199 t=389086
pao le 	跑了	c=2 d=1.03777e-109 t=389086
pao lu 	跑路	c=26 d=0.0218184 t=389086
pao lu ye 	跑路也	c=1 d=2.43839e-192 t=389086
pao mian 	泡面	c=2 d=2.7716e-52 t=389086
pao pao 	泡泡	c=1 d=2.94098e-44 t=389086
pao wan 	跑完	c=3 d=1.85647e-102 t=389086
pao wen quan 	泡温泉	c=1 d=0 t=389086
pao zhe 	跑着	c=1 d=7.97895e-80 t=389086
pei 	呸	c=7 d=1.89063e-148 t=389086
pei 	赔	c=2 d=3.76326e-209 t=389086
pei 	配	c=48 d=3.85271e-15 t=389086
pei 	陪	c=1 d=1.52233e-91 t=389086
pei bi 	配比	c=1 d=6.40088e-105 t=389086
pei cha 	陪差	c=1 d=0 t=389086
pei chang 	赔偿	c=1 d=2.55646e-307 t=389086
pei e 	配额	c=2 d=0 t=389086
pei fu 	佩服	c=1 d=3.67859e-206 t=389086
pei he 	配合	c=4 d=1.55875e-75 t=389086
pei jian 	配件	c=1 d=2.04482e-33 t=389086
pei jue 	配角	c=1 d=2.45053e-221 t=389086
pei se 	配色	c=3 d=1.19938e-80 t=389086
pei xun 	培训	c=9 d=1.34368e-07 t=389086
pei yang 	培养	c=2 d=6.14008e-145 t=389086
pei zhe 	陪着	c=1 d=4.59425e-174 t=389086
pei zhi 	配置	c=1446 d=3.26485 t=389086
pei zhi cuo 	配置错	c=1 d=1.6975e-137 t=389086
pei zhi dan 	配置单	c=2 d=2.69436e-43 t=389086
pei zhi hao 	配置好	c=1 d=0 t=389086
pei zi 	配子	c=2 d=0 t=389086
pen 	喷	c=3 d=4.26747e-12 t=389086
pen 	盆	c=1 d=6.51713e-199 t=389086
pen man po man 	盆满破满	c=1 d=1.01758e-146 t=389086
peng 	鹏	c=2 d=3.23838e-89 t=389086
peng pai 	彭湃	c=3 d=1.63007e-307 t=389086
peng you 	朋友	c=3 d=0.00247875 t=389086
peng zhang 	膨胀	c=1 d=7.57513e-116 t=389086
pi 	屁	c=52 d=1.41367e-14 t=389086
pi 	批	c=6 d=7.36097e-14 t=389086
pi 	皮	c=3 d=9.31986e-84 t=389086
pi ci 	批次	c=2 d=5.21809e-76 t=389086
pi fu 	皮肤	c=6 d=6.24663e-24 t=389086
pi gu 	屁股	c=1 d=1.58495e-124 t=389086
pi gu 	辟谷	c=2 d=5.46323e-212 t=389086
pi ka 	皮卡	c=2 d=1.55737e-94 t=389086
pi ka qiu 	皮卡球	c=1 d=0 t=389086
pi lao 	疲劳	c=11 d=7.30067e-53 t=389086
pi lao du 	疲劳度	c=34 d=1.32579e-53 t=389086
pi liang 	批量	c=40 d=5.07645e-11 t=389086
pi mei 	媲美	c=3 d=3.04046e-53 t=389086
pi ni 	皮你	c=1 d=0 t=389086
pi pei 	匹配	c=69 d=0.00305798 t=389086
pi qi 	脾气	c=2 d=3.64707e-193 t=389086
pi sa 	批萨	c=1 d=6.99494e-296 t=389086
pi yan 	屁眼	c=1 d=0 t=389086
pi yan 	皮炎	c=1 d=0 t=389086
pi yong 	屁用	c=1 d=6.01826e-27 t=389086
pian 	偏	c=7 d=1.3113e-12 t=389086
pian 	片	c=5 d=1.66637e-37 t=389086
pian 	篇	c=3 d=6.28281e-215 t=389086
pian 	骗	c=1 d=9.30281e-180 t=389086
pian duan 	片段	c=1 d=1.93417e-290 t=389086
pian ren 	骗人	c=1 d=4.48206e-236 t=389086
pian yi 	便宜	c=22 d=3.0098e-22 t=389086
pian yi 	偏移	c=1 d=1.45759e-256 t=389086
piao 	嫖	c=1 d=2.54629e-172 t=389086
piao 	瞟	c=1 d=3.18054e-171 t=389086
piao 	票	c=13 d=1.17078e-05 t=389086
piao 	飘	c=1 d=1.45298e-160 t=389086
piao chang 	嫖娼	c=1 d=1.58151e-216 t=389086
piao ju 	票据	c=16 d=1.07951e-173 t=389086
piao liang 	漂亮	c=3 d=1.60279e-138 t=389086
pin 	品	c=4 d=0.0434998 t=389086
pin 	拼	c=49 d=0.782705 t=389086
pin 	频	c=706 d=0.630244 t=389086
pin fan 	频繁	c=17 d=3.95549e-60 t=389086
pin jie 	拼接	c=15 d=3.45069e-42 t=389086
pin kong 	品控	c=1 d=9.63324e-267 t=389086
pin kun 	贫困	c=1 d=0 t=389086
pin lv 	频率	c=15 d=0.0107807 t=389086
pin pai 	品牌	c=3 d=3.28456e-101 t=389086
pin ru 	品如	c=1 d=3.02797e-34 t=389086
pin xie 	拼写	c=6 d=5.03564e-165 t=389086
pin xue 	贫血	c=1 d=5.80971e-112 t=389086
pin yin 	拼音	c=6 d=1.92973e-28 t=389086
ping 	凭	c=2 d=1.03534e-85 t=389086
ping 	屏	c=33 d=0.010358 t=389086
ping 	平	c=17 d=0.00151098 t=389086
ping 	瓶	c=2 d=6.85571e-236 t=389086
ping ban 	平板	c=13 d=9.39912e-66 t=389086
ping bi 	屏蔽	c=15 d=2.2332e-11 t=389086
ping chang 	平常	c=2 d=2.11679e-87 t=389086
ping dan 	平淡	c=1 d=1.3679e-156 t=389086
ping fang 	平方	c=1 d=3.60893e-187 t=389086
ping fen 	平分	c=1 d=3.72174e-108 t=389086
ping fen 	评分	c=4 d=3.23253e-09 t=389086
ping gai 	瓶盖	c=3 d=5.16751e-175 t=389086
ping gu 	评估	c=13 d=1.3041e-06 t=389086
ping gu chuan 	评估传	c=2 d=2.64793e-15 t=389086
ping guo 	苹果	c=251 d=0.798516 t=389086
ping heng 	平衡	c=2 d=1.06181e-176 t=389086
ping hua 	平滑	c=3 d=7.26356e-210 t=389086
ping jia 	评价	c=5 d=3.55589e-64 t=389086
ping jin 	瓶进	c=1 d=1.26923e-187 t=389086
ping jing 	瓶颈	c=3 d=3.05687e-175 t=389086
ping jun 	平均	c=12 d=3.47944e-22 t=389086
ping jun zhi 	平均值	c=1 d=8.18791e-90 t=389086
ping lun 	评论	c=6 d=5.32648e-61 t=389086
ping lv 	平率	c=1 d=3.18196e-235 t=389086
ping mi 	平米	c=3 d=3.12913e-97 t=389086
ping mu 	屏幕	c=26 d=0.0483156 t=389086
ping shen 	评审	c=2 d=2.27785e-38 t=389086
ping shen me 	凭什么	c=4 d=1.34277e-85 t=389086
ping shi 	平时	c=34 d=0.0473589 t=389086
ping tai 	平台	c=404 d=0.00541782 t=389086
ping ti 	平题	c=1 d=0.0385808 t=389086
ping xing 	平行	c=1 d=0 t=389086
ping yi jin ren 	平易近人	c=2 d=1.44579e-87 t=389086
po 	破	c=8 d=5.42502e-12 t=389086
po chan 	破产	c=3 d=3.23379e-278 t=389086
po jie 	破解	c=10 d=6.39932e-14 t=389086
po jie ma 	破解码	c=1 d=0 t=389086
pu 	普	c=2 d=2.75487e-69 t=389086
pu 	铺	c=2 d=1.03528e-143 t=389086
pu bian 	普遍	c=1 d=0 t=389086
pu ji 	普及	c=2 d=2.19481e-101 t=389086
pu sa 	菩萨	c=1 d=0 t=389086
pu tong 	普通	c=118 d=2.23784e-06 t=389086
pu tong de 	普通的	c=1 d=0 t=389086
pu tong hua 	普通话	c=1 d=2.45455e-299 t=389086
qi 	七	c=2 d=2.06532e-172 t=389086
qi 	企	c=4 d=2.6332e-67 t=389086
qi 	其	c=10 d=2.42629e-16 t=389086
qi 	启	c=1 d=1.3505e-35 t=389086
qi 	器	c=44 d=1.21329e-07 t=389086
qi 	奇	c=3 d=5.46858e-106 t=389086
qi 	弃	c=1 d=1.25439e-225 t=389086
qi 	期	c=20 d=3.03613e-95 t=389086
qi 	气	c=22 d=4.20144e-28 t=389086
qi 	琦	c=1 d=6.33847e-78 t=389086
qi 	起	c=41 d=2.20592e-05 t=389086
qi 	齐	c=3 d=3.3343e-197 t=389086
qi ao 	淇澳	c=1 d=9.397e-269 t=389086
qi bu 	起步	c=7 d=7.18877e-59 t=389086
qi bu shang 	起不上	c=1 d=2.55306e-262 t=389086
qi bu shi 	岂不是	c=7 d=6.70527e-34 t=389086
qi che 	骑车	c=1 d=3.38308e-162 t=389086
qi chuang 	起床	c=18 d=1.00293e-05 t=389086
qi ci 	七次	c=1 d=5.17757e-286 t=389086
qi ci 	其次	c=1 d=0 t=389086
qi da 	七大	c=0 d=3.40908e-253 t=389086
qi da ma 	七大妈	c=1 d=3.42617e-252 t=389086
qi dai 	期待	c=2 d=1.64936e-269 t=389086
qi de 	起得	c=1 d=2.76333e-105 t=389086
qi dian 	七点	c=1 d=1.74173e-263 t=389086
qi dian 	起点	c=4 d=1.70096e-14 t=389086
qi dong 	启动	c=162 d=0.810584 t=389086
qi dong qi 	启动起	c=1 d=0 t=389086
qi fei 	起飞	c=1 d=0 t=389086
qi guai 	奇怪	c=79 d=3.67242e-10 t=389086
qi ji 	奇迹	c=2 d=9.49882e-190 t=389086
qi jian 	旗舰	c=4 d=9.88352e-304 t=389086
qi jian 	期间	c=6 d=0.546124 t=389086
qi jiu shi 	起就是	c=1 d=7.49386e-48 t=389086
qi kan 	期刊	c=1 d=0 t=389086
qi lai 	起来	c=83 d=0.00431784 t=389086
qi lai le 	起来了	c=2 d=2.57651e-105 t=389086
qi li 	气力	c=1 d=0 t=389086
qi ma 	起码	c=56 d=0.579842 t=389086
qi miao 	奇妙	c=1 d=0.729789 t=389086
qi quan 	齐全	c=1 d=0.0273237 t=389086
qi shi 	七十	c=1 d=0 t=389086
qi shi 	其实	c=606 d=1.49575 t=389086
qi shi 	歧视	c=1 d=7.24821e-97 t=389086
qi si 	气死	c=2 d=3.36929e-114 t=389086
qi ta 	其他	c=788 d=0.79741 t=389086
qi ta 	其它	c=3 d=1.50951e-256 t=389086
qi ta qun 	其他群	c=1 d=0 t=389086
qi ta ren 	其他人	c=7 d=2.16885e-255 t=389086
qi ti 	气体	c=1 d=1.04918e-241 t=389086
qi tian 	七天	c=2 d=8.79292e-17 t=389086
qi wei 	气味	c=1 d=6.28762e-189 t=389086
qi xiang 	奇想	c=1 d=0 t=389086
qi ye 	企业	c=16 d=6.10634e-139 t=389086
qi yi 	起义	c=1 d=0.00763509 t=389086
qi yu 	其余	c=2 d=1.13065e-121 t=389086
qi zhe 	起着	c=1 d=0 t=389086
qi zhe me 	起这么	c=1 d=6.03369e-204 t=389086
qi zhong 	其中	c=41 d=1.08665e-07 t=389086
qian 	前	c=21 d=0.279431 t=389086
qian 	千	c=26 d=0.214435 t=389086
qian 	签	c=5 d=1.46418e-74 t=389086
qian 	迁	c=33 d=3.02388e-08 t=389086
qian 	钱	c=101 d=0.732924 t=389086
qian ban 	前半	c=1 d=0 t=389086
qian bao 	钱包	c=4 d=4.29617e-32 t=389086
qian bei 	前辈	c=1 d=0 t=389086
qian che zhi jian 	前车之鉴	c=1 d=0 t=389086
qian chui bai lian 	千锤百炼	c=1 d=5.403e-258 t=389086
qian dao 	签到	c=2 d=2.71989e-242 t=389086
qian duan 	前端	c=194 d=0.000368894 t=389086
qian duo 	钱多	c=1 d=1.6986e-174 t=389086
qian gui ze 	潜规则	c=1 d=1.27e-106 t=389086
qian hai 	前海	c=1 d=2.71648e-286 t=389086
qian hou 	前后	c=8 d=3.34155e-105 t=389086
qian hou tai 	前后台	c=29 d=0.0222592 t=389086
qian ji tian 	前几天	c=24 d=1.06455e-30 t=389086
qian ji zhou 	前几周	c=1 d=1.61748e-304 t=389086
qian jin 	前进	c=1 d=0 t=389086
qian liang 	前两	c=2 d=8.43296e-84 t=389086
qian liang ge 	前两个	c=3 d=6.33503e-101 t=389086
qian liang tian 	前两天	c=3 d=7.13596e-178 t=389086
qian liang zhou 	前两周	c=2 d=5.21467e-223 t=389086
qian mian 	前面	c=74 d=9.28477e-09 t=389086
qian ming 	签名	c=8 d=4.03995e-132 t=389086
qian nian 	前年	c=3 d=5.6286e-63 t=389086
qian qi 	前妻	c=2 d=6.20753e-108 t=389086
qian qi 	前期	c=1 d=0 t=389086
qian ren 	前人	c=2 d=5.38883e-139 t=389086
qian ren 	前任	c=1 d=2.42136e-139 t=389086
qian ru 	潜入	c=1 d=1.43516e-250 t=389086
qian ru shi 	嵌入式	c=4 d=7.70937e-197 t=389086
qian shou 	签收	c=1 d=8.95479e-202 t=389086
qian tai 	前台	c=260 d=2.32773 t=389086
qian tao 	嵌套	c=8 d=7.33803e-126 t=389086
qian ti 	前提	c=3 d=0.000239969 t=389086
qian tian 	前天	c=24 d=8.65105e-59 t=389086
qian wan 	千万	c=11 d=1.10288e-05 t=389086
qian yan 	前沿	c=3 d=0.000118571 t=389086
qian yi 	迁移	c=81 d=0.00499159 t=389086
qian yi fa er dong quan shen 	牵一发而动全身	c=1 d=2.95654e-106 t=389086
qian yi tian 	前一天	c=4 d=1.01488e-203 t=389086
qian yi zhou 	前一周	c=2 d=1.72778e-51 t=389086
qian yue 	签约	c=1 d=3.12593e-85 t=389086
qian zai 	潜在	c=2 d=1.30534e-76 t=389086
qian zhao 	千兆	c=3 d=2.1906e-92 t=389086
qian zhe 	前者	c=2 d=2.3153e-259 t=389086
qian zhi 	前置	c=9 d=2.55052e-74 t=389086
qian zhi 	牵制	c=1 d=4.88345e-10 t=389086
qian zhui 	前缀	c=41 d=1.70589e-48 t=389086
qian zi 	签字	c=6 d=1.55684e-90 t=389086
qiang 	墙	c=2 d=3.17392e-29 t=389086
qiang 	强	c=44 d=2.28181e-29 t=389086
qiang 	抢	c=5 d=3.12507e-23 t=389086
qiang 	枪	c=1 d=6.67026e-90 t=389086
qiang da 	强大	c=20 d=8.13374e-12 t=389086
qiang diao 	强调	c=4 d=0.000151489 t=389086
qiang du 	强度	c=2 d=6.58834e-141 t=389086
qiang hong bao 	强红包	c=1 d=9.90122e-90 t=389086
qiang hua 	强化	c=1 d=2.61085e-290 t=389086
qiang jia 	强加	c=1 d=0 t=389086
qiang jian 	强奸	c=1 d=1.65019e-128 t=389086
qiang jie 	抢劫	c=5 d=7.39463e-97 t=389086
qiang po 	强迫	c=3 d=7.41086e-173 t=389086
qiang qian 	抢钱	c=1 d=1.69462e-117 t=389086
qiang shang 	墙上	c=1 d=1.24337e-92 t=389086
qiang xiang 	强项	c=1 d=2.03048e-156 t=389086
qiang zhan 	抢占	c=1 d=1.03685e-14 t=389086
qiang zhi 	墙纸	c=1 d=0 t=389086
qiang zhi 	强制	c=42 d=1.00686e-51 t=389086
qiao 	巧	c=1 d=0 t=389086
qiao 	悄	c=5 d=3.96789e-38 t=389086
qiao 	敲	c=0 d=1.71847e-106 t=389086
qiao bi 	峭壁	c=0 d=9.79103e-77 t=389086
qiao bi luo 	峭壁落	c=1 d=9.84011e-76 t=389086
qiao bu qi 	瞧不起	c=1 d=2.05222e-193 t=389086
qiao men 	敲门	c=1 d=3.37054e-89 t=389086
qiao mi mi 	敲秘密	c=1 d=1.72708e-105 t=389086
qiao qiao 	悄悄	c=18 d=0.427415 t=389086
qie 	且	c=15 d=5.37452e-49 t=389086
qie 	切	c=358 d=3.46947 t=389086
qie cuo 	切磋	c=1 d=8.86231e-80 t=389086
qie ge 	切割	c=4 d=3.38192e-158 t=389086
qie hou tai 	切后台	c=1 d=1.11979e-272 t=389086
qie huan 	切换	c=130 d=1.24245 t=389086
qie lai 	且来	c=1 d=8.9672e-42 t=389086
qie pian 	切片	c=11 d=8.95471e-55 t=389086
qin 	琴	c=1 d=1.62979e-305 t=389086
qin fen 	勤奋	c=2 d=6.48573e-201 t=389086
qin qi 	亲戚	c=2 d=5.98548e-286 t=389086
qin shi 	寝室	c=2 d=2.02725e-196 t=389086
qin wen 	亲吻	c=1 d=6.8942e-08 t=389086
qing 	亲	c=3 d=1.15224e-159 t=389086
qing 	情	c=1 d=7.96293e-27 t=389086
qing 	清	c=69 d=0.000349153 t=389086
qing 	请	c=93 d=0.392688 t=389086
qing 	轻	c=2 d=3.13552e-121 t=389086
qing 	青	c=2 d=2.79499e-92 t=389086
qing bo 	轻薄	c=2 d=1.56475e-32 t=389086
qing bu liao 	请不料	c=1 d=7.10272e-35 t=389086
qing chu 	清楚	c=83 d=0.000268666 t=389086
qing chu 	清除	c=8 d=1.15375e-104 t=389086
qing chu wo 	清楚我	c=1 d=2.66811e-163 t=389086
qing dao 	青岛	c=2 d=8.29805e-12 t=389086
qing fu 	情妇	c=1 d=1.77925e-14 t=389086
qing gan 	情感	c=1 d=2.6674e-248 t=389086
qing hua 	清华	c=3 d=6.98481e-269 t=389086
qing jia 	请假	c=52 d=1.91685e-08 t=389086
qing jie 	清洁	c=2 d=1.80936e-270 t=389086
qing kong 	清空	c=24 d=0.932394 t=389086
qing kuang 	情况	c=175 d=0.9915 t=389086
qing li 	清理	c=2 d=2.77472e-124 t=389086
qing lv 	情侣	c=1 d=0 t=389086
qing ming 	清明	c=8 d=1.10108e-170 t=389086
qing nian 	青年	c=1 d=0 t=389086
qing qing 	轻轻	c=1 d=0 t=389086
qing qiu 	请求	c=809 d=0.644036 t=389086
qing ren 	情人	c=3 d=0.0948548 t=389086
qing shao nian 	青少年	c=2 d=2.76718e-92 t=389086
qing shuang 	清爽	c=1 d=4.87483e-48 t=389086
qing song 	轻松	c=2 d=1.88545e-284 t=389086
qing suan 	清算	c=1 d=4.93257e-157 t=389086
qing wa 	青蛙	c=4 d=7.86129e-88 t=389086
qing wan 	青湾	c=1 d=4.45259e-276 t=389086
qing wen 	请问	c=69 d=6.08703e-06 t=389086
qing xi 	清晰	c=5 d=2.93102e-151 t=389086
qing xiang 	倾向	c=1 d=6.007e-05 t=389086
qing xu 	情绪	c=3 d=1.05536e-75 t=389086
qiong 	穷	c=7 d=9.88503e-12 t=389086
qiu 	丘	c=1 d=5.11224e-78 t=389086
qiu 	求	c=8 d=0.298197 t=389086
qiu 	球	c=4 d=6.65897e-217 t=389086
qiu 	秋	c=10 d=0.288566 t=389086
qiu qiu 	求求	c=1 d=7.74001e-134 t=389086
qiu shi 	求实	c=1 d=0 t=389086
qiu tian 	秋天	c=1 d=0 t=389086
qiu zhi 	求知	c=1 d=0 t=389086
qiu zhu 	求助	c=5 d=0 t=389086
qiu zu 	求租	c=1 d=3.99907e-130 t=389086
qu 	区	c=9 d=3.77365e-10 t=389086
qu 	去	c=455 d=2.45492 t=389086
qu 	取	c=434 d=0.622132 t=389086
qu 	娶	c=1 d=1.49672e-156 t=389086
qu 	曲	c=8 d=2.20834e-26 t=389086
qu ba 	去把	c=1 d=4.07609e-31 t=389086
qu bie 	区别	c=100 d=1.12144 t=389086
qu chu 	去处	c=1 d=0 t=389086
qu chu 	去除	c=15 d=2.59543e-191 t=389086
qu dai 	取代	c=1 d=0 t=389086
qu dao 	渠道	c=10 d=0.985112 t=389086
qu diao 	去掉	c=50 d=1.37776e-07 t=389086
qu dong 	驱动	c=6 d=2.08167e-96 t=389086
qu fen 	区分	c=250 d=0.332871 t=389086
qu ge 	取个	c=3 d=1.75426e-87 t=389086
qu ge 	娶个	c=1 d=4.36007e-88 t=389086
qu guo 	去过	c=4 d=4.64039e-27 t=389086
qu jue 	取决	c=1 d=3.06674e-66 t=389086
qu kuai lian 	区块链	c=1 d=0 t=389086
qu le 	去了	c=1 d=2.62285e-197 t=389086
qu mian 	曲面	c=3 d=4.72069e-258 t=389086
qu ming 	取名	c=1 d=4.74688e-88 t=389086
qu na 	去哪	c=1 d=1.5319e-194 t=389086
qu nian 	去年	c=27 d=5.60053e-63 t=389086
qu shi 	去世	c=1 d=5.2488e-94 t=389086
qu shi 	趋势	c=26 d=4.29973e-83 t=389086
qu shi tu 	趋势图	c=1 d=1.25212e-145 t=389086
qu xian 	曲线	c=11 d=0.000165755 t=389086
qu xiao 	取消	c=27 d=7.81723e-08 t=389086
qu yu 	区域	c=3 d=2.36454e-95 t=389086
qu zhi 	取值	c=31 d=1.17382e-08 t=389086
quan 	全	c=423 d=0.956975 t=389086
quan 	劝	c=2 d=5.2274e-46 t=389086
quan 	圈	c=42 d=0.217915 t=389086
quan 	权	c=25 d=1.25989e-12 t=389086
quan bian 	全变	c=1 d=6.55622e-93 t=389086
quan biao 	全表	c=1 d=1.80935e-123 t=389086
quan bu 	全部	c=47 d=0.00324708 t=389086
quan dou 	全都	c=7 d=1.8238e-99 t=389086
quan dou shi 	全都是	c=2 d=4.33049e-08 t=389086
quan dou you 	全都有	c=2 d=2.31789e-184 t=389086
quan gei ni 	全给你	c=2 d=2.85455e-46 t=389086
quan gei wo 	全给我	c=1 d=3.62738e-100 t=389086
quan guo 	全国	c=2 d=3.7816e-178 t=389086
quan jia ting 	全家庭	c=3 d=2.8207e-229 t=389086
quan jiao 	全角	c=1 d=0 t=389086
quan ju 	全局	c=21 d=9.75974e-09 t=389086
quan ju bian liang 	全局变量	c=1 d=7.16981e-263 t=389086
quan kai 	全开	c=2 d=3.37297e-215 t=389086
quan kao 	全靠	c=1 d=2.0588e-260 t=389086
quan liang 	全量	c=74 d=0.97531 t=389086
quan liu cheng 	全流程	c=1 d=9.79802e-55 t=389086
quan mian 	全面	c=9 d=8.85924e-68 t=389086
quan min 	全民	c=5 d=2.27059e-167 t=389086
quan ming 	全名	c=11 d=2.43639e-153 t=389086
quan mo zu 	全模组	c=1 d=1.01105e-41 t=389086
quan neng 	全能	c=2 d=1.61621e-236 t=389086
quan nv 	全女	c=1 d=0.000884932 t=389086
quan pan 	全盘	c=1 d=0 t=389086
quan ping 	全屏	c=13 d=6.99488e-149 t=389086
quan qiu 	全球	c=2 d=2.61706e-171 t=389086
quan quan 	圈圈	c=5 d=6.30885e-258 t=389086
quan shen 	全身	c=5 d=3.01244e-111 t=389086
quan shi 	全市	c=31 d=1.48e-24 t=389086
quan shi 	全是	c=9 d=2.50452e-07 t=389086
quan si 	全死	c=1 d=1.05615e-25 t=389086
quan tao 	全套	c=1 d=5.4988e-112 t=389086
quan ti 	全体	c=1 d=6.86922e-171 t=389086
quan tian 	全天	c=2 d=6.0887e-105 t=389086
quan xian 	权限	c=320 d=0.640824 t=389086
quan xin 	全新	c=2 d=1.61396e-249 t=389086
quan xuan 	全选	c=1 d=0 t=389086
quan yi 	权益	c=5 d=7.43495e-14 t=389086
quan zai 	全在	c=7 d=2.15559e-36 t=389086
quan zhong 	权重	c=2 d=4.72351e-30 t=389086
quan zi dong 	全自动	c=2 d=6.22738e-164 t=389086
que 	却	c=17 d=6.06944e-09 t=389086
que 	缺	c=17 d=1.4389e-75 t=389086
que 	雀	c=1 d=2.81858e-132 t=389086
que 	鹊	c=1 d=6.7925e-39 t=389086
que bao 	确保	c=2 d=1.50013e-124 t=389086
que dian 	缺点	c=1 d=3.89515e-85 t=389086
que ding 	确定	c=37 d=0.0154523 t=389086
que ren 	确认	c=20 d=7.15802e-38 t=389086
que ren 	缺人	c=1 d=3.76078e-25 t=389086
que shao 	缺少	c=2 d=3.56903e-262 t=389086
que shi 	确实	c=1 d=3.72355e-290 t=389086
que shi 	缺失	c=3 d=3.37905e-148 t=389086
que you 	却有	c=1 d=8.82383e-117 t=389086
qun 	群	c=123 d=0.438235 t=389086
qun fa 	群发	c=2 d=0 t=389086
qun jia 	群价	c=1 d=7.55637e-175 t=389086
qun li 	群里	c=59 d=0.687289 t=389086
qun liao 	群聊	c=10 d=2.00605e-190 t=389086
qun ying 	群英	c=1 d=4.02091e-194 t=389086
qun zhong 	群众	c=1 d=2.3079e-192 t=389086
ran 	然	c=3 d=1.3608e-183 t=389086
ran hou 	然后	c=1242 d=2.02824 t=389086
rang 	让	c=125 d=0.276651 t=389086
rang ni 	让你	c=19 d=1.16295 t=389086
rang qi 	让其	c=1 d=1.53278e-142 t=389086
rang ren 	让人	c=5 d=7.06444e-89 t=389086
rang ta 	让他	c=11 d=8.08533e-13 t=389086
rang ta men 	让他们	c=1 d=1.9959e-101 t=389086
rang wo 	让我	c=25 d=0.0257325 t=389086
rang wo mei 	让我没	c=1 d=3.87139e-160 t=389086
rao 	扰	c=2 d=5.99077e-267 t=389086
rao guo 	绕过	c=1 d=1.77939e-250 t=389086
rao kai 	绕开	c=1 d=0 t=389086
re 	热	c=8 d=1.34377e-35 t=389086
re ai 	热爱	c=1 d=1.1802e-08 t=389086
re dian 	热点	c=1 d=0 t=389086
re du 	热度	c=1 d=1.38686e-24 t=389086
re men 	热门	c=2 d=2.85011e-204 t=389086
re qing 	热情	c=1 d=2.10991e-225 t=389086
re shou 	热手	c=1 d=1.14587e-190 t=389086
re sou 	热搜	c=2 d=6.36482e-68 t=389086
re xin 	热心	c=1 d=2.1023e-65 t=389086
re zhi shi 	热知识	c=2 d=4.42023e-14 t=389086
ren 	人	c=345 d=2.38782 t=389086
ren 	认	c=9 d=1.60753e-114 t=389086
ren bu chu 	认不出	c=0 d=7.18074e-135 t=389086
ren bu chu lai me 	认不出来么	c=1 d=7.21673e-134 t=389086
ren cai 	人才	c=5 d=8.71892e-09 t=389086
ren cheng 	人称	c=2 d=0 t=389086
ren chu 	认出	c=1 d=2.01658e-135 t=389086
ren chu lai 	认出来	c=3 d=3.34985e-46 t=389086
ren da 	人大	c=1 d=5.33288e-222 t=389086
ren dou 	人都	c=1 d=7.50846e-159 t=389086
ren duo 	人多	c=2 d=4.64592e-41 t=389086
ren ge 	人格	c=2 d=9.02258e-89 t=389086
ren gong 	人工	c=6 d=1.50645e-163 t=389086
ren he 	任何	c=3 d=1.59783e-131 t=389086
ren ji 	人机	c=2 d=2.94499e-60 t=389086
